episode,win_rate,epsilon,total_reward,enemy
601,100.0,0.096,513.1363333333327,booon2
602,50.0,0.095808,332.99999999999943,Gem2_Ec
603,33.33333333333333,0.095616384,163.01766666666683,Gem1_Rt
1001,0.0,0.3,401.7800000000007,Gem2_Ec
1002,0.0,0.2994,89.74733333333343,Gem3_Rs
1001,0.0,0.3,548.7600000000022,Killer 
1002,50.0,0.2994,2491.872333333322,Claude 
1003,33.33333333333333,0.2988012,107.49999999999987,Gem2_Ec
1004,25.0,0.2982035976,124.1493333333331,Gem1_Rt
1001,100.0,0.3,1900.0869999999961,Claude 
1002,50.0,0.2994,236.467,Gem2_Ec
1003,66.66666666666666,0.2988012,2266.669999999997,Claude 
1004,50.0,0.2982035976,101.59600000000003,Gem1_Rt
1005,40.0,0.2976071904048,109.87000000000003,Gem1_Rt
1001,0.0,0.3,126.7799999999996,Gem2_Ec
1002,0.0,0.2994,515.3706666666671,Killer 
1003,0.0,0.2988012,503.49000000000035,Killer 
1004,0.0,0.2982035976,1047.2196666666669,Nemesis
1001,0.0,0.3,482.750000000002,Killer 
1001,100.0,0.3,1964.1800000000042,Killer 
1002,100.0,0.2994,383.7363333333334,Claude 
1001,0.0,0.3,126.19999999999989,Gem2_Ec
1002,50.0,0.2994,606.6029999999995,Nemesis
1003,33.33333333333333,0.2988012,94.36,Gem2_Ec
1004,50.0,0.2982035976,856.475000000001,Claude 
1005,40.0,0.2976071904048,118.63833333333349,Gem2_Ec
1001,0.0,0.3,174.92000000000044,Gem1_Rt
1002,50.0,0.2994,399.2970000000006,Claude 
1003,66.66666666666666,0.2988012,727.8370000000006,Nemesis
1004,50.0,0.2982035976,72.89999999999986,Gem1_Rt
1005,40.0,0.2976071904048,119.58000000000015,Gem1_Rt
1001,100.0,0.3,693.04,Nemesis
1002,50.0,0.2994,469.1200000000019,Killer 
1003,33.33333333333333,0.2988012,124.26999999999988,Gem2_Ec
1004,25.0,0.2982035976,170.14600000000024,Gem1_Rt
1005,20.0,0.2976071904048,47.19000000000004,Gem3_Rs
1006,33.33333333333333,0.2970119760239904,446.24999999999943,Claude 
1007,42.857142857142854,0.2964179520719424,363.1199999999995,Claude 
1008,50.0,0.2958251161677985,348.6400000000003,Claude 
1009,55.55555555555556,0.2952334659354629,384.23566666666665,Claude 
1010,60.0,0.294642999003592,653.8876666666666,Claude 
1011,63.63636363636363,0.2940537130055848,497.7963333333331,Nemesis
1012,58.333333333333336,0.29346560557957363,88.76100000000024,Gem1_Rt
1001,100.0,0.3,369.64,Claude 
1002,50.0,0.2994,155.71500000000012,Gem2_Ec
1003,66.66666666666666,0.2988012,553.2583333333338,Claude 
1004,50.0,0.2982035976,165.3343333333332,Gem2_Ec
1005,60.0,0.2976071904048,489.5299999999997,Claude 
1006,66.66666666666666,0.2970119760239904,1021.0673333333325,Killer 
1007,71.42857142857143,0.2964179520719424,685.5600000000004,Claude 
1001,100.0,0.3,1396.9799999999982,Killer 
1002,100.0,0.2994,767.2173333333346,Claude 
1003,100.0,0.2988012,782.8610000000003,Claude 
1004,100.0,0.2982035976,497.32000000000073,Claude 
1005,80.0,0.2976071904048,148.74166666666648,Gem2_Ec
1006,66.66666666666666,0.2970119760239904,214.87000000000015,Gem2_Ec
1007,57.14285714285714,0.2964179520719424,113.40300000000009,Gem1_Rt
1008,50.0,0.2958251161677985,86.88999999999997,Gem3_Rs
1009,44.44444444444444,0.2952334659354629,144.13866666666704,Gem2_Ec
1010,50.0,0.294642999003592,807.8650000000005,Claude 
1011,54.54545454545454,0.2940537130055848,932.4130000000011,Claude 
1012,50.0,0.29346560557957363,129.49999999999997,Gem3_Rs
1013,46.15384615384615,0.29287867436841447,114.16666666666669,Gem1_Rt
1001,100.0,0.3,736.0156666666674,Killer 
1002,50.0,0.2994,80.00000000000004,Gem1_Rt
1001,100.0,0.3,1046.1199999999988,Killer 
1001,0.0,0.3,867.260000000019,Killer 
1002,50.0,0.2994,2099.4000000000005,Killer 
1003,66.66666666666666,0.2988012,1620.5599999999818,Claude 
1004,50.0,0.2982035976,1064.2399999999634,Killer 
1005,40.0,0.2976071904048,270.7500000000006,Gem1_Rt
1006,33.33333333333333,0.2970119760239904,209.08999999999955,Gem2_Ec
1007,28.57142857142857,0.2964179520719424,182.59000000000125,Gem1_Rt
1008,25.0,0.2958251161677985,147.68,Gem3_Rs
1009,33.33333333333333,0.2952334659354629,1436.7900000000027,Claude 
1010,30.0,0.294642999003592,236.76000000000056,Gem2_Ec
1011,36.36363636363637,0.2940537130055848,2127.550000000003,Killer 
1012,33.33333333333333,0.29346560557957363,159.9800000000001,Gem1_Rt
1013,38.46153846153847,0.29287867436841447,1794.2300000000055,Nemesis
1014,35.714285714285715,0.29229291701967763,173.6800000000004,Gem3_Rs
1015,33.33333333333333,0.29170833118563827,139.4600000000001,Gem1_Rt
1016,31.25,0.291124914523267,248.19000000000037,Gem1_Rt
1017,29.411764705882355,0.29054266469422046,135.9900000000008,Gem3_Rs
1018,27.77777777777778,0.289961579364832,397.73999999999876,Gem2_Ec
1019,26.31578947368421,0.28938165620610234,139.7300000000001,Gem1_Rt
1020,25.0,0.28880289289369016,139.72000000000003,Gem1_Rt
1021,23.809523809523807,0.2882252871079028,968.069999999958,Killer 
1022,22.727272727272727,0.287648836533687,139.16000000000008,Gem1_Rt
1023,21.73913043478261,0.28707353886061965,186.55999999999997,Gem2_Ec
1024,25.0,0.2864993917828984,1427.089999999999,Killer 
1025,24.0,0.2859263929993326,241.7199999999998,Gem2_Ec
1026,26.923076923076923,0.28535454021333395,1681.5500000000038,Claude 
1027,29.629629629629626,0.2847838311329073,1812.2499999999854,Nemesis
1028,28.57142857142857,0.2842142634706415,91.82000000000016,Gem3_Rs
1029,31.03448275862069,0.2836458349437002,1162.329999999998,Killer 
1030,30.0,0.2830785432738128,125.86000000000065,Gem1_Rt
1031,29.03225806451613,0.2825123861872652,136.86000000000007,Gem3_Rs
1032,28.125,0.2819473614148907,354.8699999999995,Gem2_Ec
1033,30.303030303030305,0.2813834666920609,1770.1300000000015,Killer 
1034,29.411764705882355,0.28082069975867674,90.74000000000038,Gem3_Rs
1035,31.428571428571427,0.2802590583591594,1419.650000000003,Killer 
1036,33.33333333333333,0.27969854024244106,1567.8700000000042,Claude 
1037,32.432432432432435,0.2791391431619562,1017.0199999999624,Killer 
1038,34.21052631578947,0.2785808648756323,1284.1700000000014,Killer 
1039,33.33333333333333,0.278023703145881,335.8600000000005,Gem1_Rt
1040,32.5,0.2774676557395892,100.43000000000053,Gem3_Rs
1041,34.146341463414636,0.27691272042811005,1083.3499999999992,Killer 
1042,33.33333333333333,0.2763588949872538,556.6700000000005,Gem2_Ec
1043,32.55813953488372,0.2758061771972793,106.53000000000053,Gem3_Rs
1044,31.818181818181817,0.27525456484288474,237.01000000000042,Gem2_Ec
1045,31.11111111111111,0.27470405571319895,139.06000000000006,Gem1_Rt
